Output of `python main.py --cuda --epochs 6 --data ../../../visdial_text --model GRU --save model_gru_6.pt 2>&1 | tee model_gru_6.txt`:
| epoch   2 |  6600/15891 batches | lr 20.00 | ms/batch 62.31 | loss  4.00 | ppl    54.44
| epoch   2 |  6800/15891 batches | lr 20.00 | ms/batch 62.38 | loss  4.04 | ppl    56.71
| epoch   2 |  7000/15891 batches | lr 20.00 | ms/batch 62.35 | loss  4.00 | ppl    54.39
| epoch   2 |  7200/15891 batches | lr 20.00 | ms/batch 62.34 | loss  4.01 | ppl    55.05
| epoch   2 |  7400/15891 batches | lr 20.00 | ms/batch 62.28 | loss  3.93 | ppl    51.02
| epoch   2 |  7600/15891 batches | lr 20.00 | ms/batch 62.28 | loss  3.91 | ppl    49.99
| epoch   2 |  7800/15891 batches | lr 20.00 | ms/batch 62.34 | loss  4.00 | ppl    54.83
| epoch   2 |  8000/15891 batches | lr 20.00 | ms/batch 62.36 | loss  4.03 | ppl    56.05
| epoch   2 |  8200/15891 batches | lr 20.00 | ms/batch 62.32 | loss  3.97 | ppl    52.99
| epoch   2 |  8400/15891 batches | lr 20.00 | ms/batch 62.33 | loss  4.01 | ppl    55.23
| epoch   2 |  8600/15891 batches | lr 20.00 | ms/batch 62.32 | loss  3.98 | ppl    53.40
| epoch   2 |  8800/15891 batches | lr 20.00 | ms/batch 62.36 | loss  4.04 | ppl    56.98
| epoch   2 |  9000/15891 batches | lr 20.00 | ms/batch 62.35 | loss  4.04 | ppl    56.76
| epoch   2 |  9200/15891 batches | lr 20.00 | ms/batch 62.32 | loss  4.00 | ppl    54.54
| epoch   2 |  9400/15891 batches | lr 20.00 | ms/batch 62.30 | loss  4.03 | ppl    56.17
| epoch   2 |  9600/15891 batches | lr 20.00 | ms/batch 62.38 | loss  4.01 | ppl    55.31
| epoch   2 |  9800/15891 batches | lr 20.00 | ms/batch 62.30 | loss  4.01 | ppl    55.13
| epoch   2 | 10000/15891 batches | lr 20.00 | ms/batch 62.34 | loss  4.01 | ppl    55.30
| epoch   2 | 10200/15891 batches | lr 20.00 | ms/batch 62.31 | loss  4.02 | ppl    55.67
| epoch   2 | 10400/15891 batches | lr 20.00 | ms/batch 62.39 | loss  4.03 | ppl    56.17
| epoch   2 | 10600/15891 batches | lr 20.00 | ms/batch 62.35 | loss  4.02 | ppl    55.77
| epoch   2 | 10800/15891 batches | lr 20.00 | ms/batch 62.34 | loss  4.03 | ppl    56.48
| epoch   2 | 11000/15891 batches | lr 20.00 | ms/batch 62.30 | loss  4.08 | ppl    59.24
| epoch   2 | 11200/15891 batches | lr 20.00 | ms/batch 62.33 | loss  4.04 | ppl    56.63
| epoch   2 | 11400/15891 batches | lr 20.00 | ms/batch 62.30 | loss  4.02 | ppl    55.55
| epoch   2 | 11600/15891 batches | lr 20.00 | ms/batch 62.38 | loss  4.01 | ppl    55.39
| epoch   2 | 11800/15891 batches | lr 20.00 | ms/batch 62.29 | loss  4.02 | ppl    55.62
| epoch   2 | 12000/15891 batches | lr 20.00 | ms/batch 62.36 | loss  4.04 | ppl    56.57
| epoch   2 | 12200/15891 batches | lr 20.00 | ms/batch 62.31 | loss  4.09 | ppl    59.48
| epoch   2 | 12400/15891 batches | lr 20.00 | ms/batch 62.35 | loss  4.02 | ppl    55.96
| epoch   2 | 12600/15891 batches | lr 20.00 | ms/batch 62.32 | loss  4.02 | ppl    55.54
| epoch   2 | 12800/15891 batches | lr 20.00 | ms/batch 62.35 | loss  4.02 | ppl    55.60
| epoch   2 | 13000/15891 batches | lr 20.00 | ms/batch 62.29 | loss  4.00 | ppl    54.48
| epoch   2 | 13200/15891 batches | lr 20.00 | ms/batch 62.36 | loss  3.97 | ppl    52.95
| epoch   2 | 13400/15891 batches | lr 20.00 | ms/batch 62.32 | loss  4.00 | ppl    54.62
| epoch   2 | 13600/15891 batches | lr 20.00 | ms/batch 62.38 | loss  3.94 | ppl    51.33
| epoch   2 | 13800/15891 batches | lr 20.00 | ms/batch 62.25 | loss  3.95 | ppl    51.84
| epoch   2 | 14000/15891 batches | lr 20.00 | ms/batch 62.32 | loss  3.99 | ppl    53.96
| epoch   2 | 14200/15891 batches | lr 20.00 | ms/batch 62.37 | loss  3.93 | ppl    50.79
| epoch   2 | 14400/15891 batches | lr 20.00 | ms/batch 62.40 | loss  3.98 | ppl    53.53
| epoch   2 | 14600/15891 batches | lr 20.00 | ms/batch 62.32 | loss  3.96 | ppl    52.22
| epoch   2 | 14800/15891 batches | lr 20.00 | ms/batch 62.33 | loss  3.92 | ppl    50.44
| epoch   2 | 15000/15891 batches | lr 20.00 | ms/batch 62.36 | loss  3.94 | ppl    51.57
| epoch   2 | 15200/15891 batches | lr 20.00 | ms/batch 62.33 | loss  3.94 | ppl    51.44
| epoch   2 | 15400/15891 batches | lr 20.00 | ms/batch 62.34 | loss  3.95 | ppl    51.72
| epoch   2 | 15600/15891 batches | lr 20.00 | ms/batch 62.34 | loss  3.90 | ppl    49.46
| epoch   2 | 15800/15891 batches | lr 20.00 | ms/batch 62.37 | loss  3.97 | ppl    53.07
-----------------------------------------------------------------------------------------
| end of epoch   2 | time: 996.43s | valid loss  4.28 | valid ppl    72.43
-----------------------------------------------------------------------------------------
| epoch   3 |   200/15891 batches | lr 20.00 | ms/batch 62.78 | loss  3.98 | ppl    53.46
| epoch   3 |   400/15891 batches | lr 20.00 | ms/batch 62.54 | loss  3.98 | ppl    53.46
| epoch   3 |   600/15891 batches | lr 20.00 | ms/batch 62.47 | loss  3.95 | ppl    51.73
| epoch   3 |   800/15891 batches | lr 20.00 | ms/batch 62.46 | loss  3.91 | ppl    50.12
| epoch   3 |  1000/15891 batches | lr 20.00 | ms/batch 62.45 | loss  3.90 | ppl    49.32
| epoch   3 |  1200/15891 batches | lr 20.00 | ms/batch 62.45 | loss  3.95 | ppl    51.72
| epoch   3 |  1400/15891 batches | lr 20.00 | ms/batch 62.51 | loss  3.97 | ppl    53.12
| epoch   3 |  1600/15891 batches | lr 20.00 | ms/batch 62.50 | loss  3.95 | ppl    52.05
| epoch   3 |  1800/15891 batches | lr 20.00 | ms/batch 62.45 | loss  3.88 | ppl    48.45
| epoch   3 |  2000/15891 batches | lr 20.00 | ms/batch 62.47 | loss  3.92 | ppl    50.57
| epoch   3 |  2200/15891 batches | lr 20.00 | ms/batch 62.50 | loss  3.95 | ppl    51.99
| epoch   3 |  2400/15891 batches | lr 20.00 | ms/batch 62.53 | loss  3.93 | ppl    50.74
